Unnamed: 0,id,scrape_id,host_id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,availability_eoy,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location
347,7871923,20250609011815,459131117,29.96657,-90.05604,Marigny,,Room in boutique hotel,Private room,2022-05-14,"New Orleans, LA",,,,f,6,6,t,t,4,1.0,1 private bath,1.0,3.0,"[""Shared hot tub"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""48 inch TV with Disney+, Hulu, Netflix, Roku"", ""Carbon monoxide alarm"", ""Shower gel"", ""Hot water"", ""Room-darkening shades"", ""Wifi"", ""Shared backyard \u2013 Fully fenced"", ""Air conditioning"", ""Outdoor furniture"", ""Portable fans"", ""Outdoor dining area"", ""Clothing storage: closet and wardrobe"", ""Coffee maker"", ""Self check-in"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Bed linens"", ""Hair dryer"", ""Free parking on premises"", ""First aid kit"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Dedicated workspace"", ""Body soap"", ""Safe"", ""Single level home"", ""Essentials"", ""Free street parking"", ""Shared patio or balcony"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Conditioner"", ""Private living room"", ""Cooking basics"", ""Private entrance"", ""Crib"", ""Keypad""]",$108.00,2,30,1,4,14,30,2.0,28.3,t,13,26,52,274,128,44,7,0,11,0.37,4.98,4.95,4.95,4.93,4.93
349,7895616,20250609011815,459131117,29.96679,-90.05803,Marigny,,Room in boutique hotel,Hotel room,2022-05-14,"New Orleans, LA",,,,f,6,6,t,t,4,1.0,1 private bath,1.0,2.0,"[""Shared hot tub"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Shower gel"", ""Hot water"", ""Wifi"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor furniture"", ""Outdoor dining area"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""48 inch HDTV with Disney+, HBO Max, Hulu, Netflix, Roku, standard cable"", ""Window AC unit"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Bed linens"", ""Hair dryer"", ""Free parking on premises"", ""First aid kit"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Dedicated workspace"", ""Essentials"", ""Free street parking"", ""High chair"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Cooking basics"", ""Crib"", ""Pack \u2019n play/Travel crib"", ""Keypad""]",$108.00,2,30,1,4,14,30,2.0,28.3,t,18,35,58,268,130,39,4,1,3,0.35,4.92,4.9,4.87,4.97,4.92
350,7921540,20250609011815,459131117,29.96667,-90.0576,Marigny,,Room in boutique hotel,Private room,2022-05-14,"New Orleans, LA",,,,f,6,6,t,t,3,,1 private bath,1.0,,"[""Shared hot tub"", ""Dishes and silverware"", ""Heating"", ""Carbon monoxide alarm"", ""Hot water"", ""Board games"", ""Wifi"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor furniture"", ""Outdoor dining area"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Window AC unit"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Bed linens"", ""Hair dryer"", ""Free parking on premises"", ""First aid kit"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""48 inch HDTV with Disney+, Hulu, Netflix, Roku"", ""Dedicated workspace"", ""Essentials"", ""Free street parking"", ""Shared patio or balcony"", ""High chair"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Cooking basics"", ""Private entrance"", ""Crib"", ""Pack \u2019n play/Travel crib"", ""Keypad""]",,2,30,1,4,14,30,2.0,28.3,t,10,24,42,254,119,62,19,1,25,0.52,4.97,4.97,4.95,4.98,4.97
368,8426658,20250609011815,459131117,29.96796,-90.05595,Marigny,,Room in boutique hotel,Hotel room,2022-05-14,"New Orleans, LA",,,,f,6,6,t,t,4,1.0,1 private bath,1.0,3.0,"[""Shared hot tub"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Hot water"", ""Board games"", ""Wifi"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor furniture"", ""Outdoor dining area"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Window AC unit"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Clothing storage: closet"", ""Bed linens"", ""Hair dryer"", ""Free parking on premises"", ""First aid kit"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""48 inch HDTV with Disney+, Hulu, Netflix, Roku"", ""Dedicated workspace"", ""Essentials"", ""Free street parking"", ""High chair"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Cooking basics"", ""Crib"", ""Pack \u2019n play/Travel crib"", ""Keypad""]",$114.00,2,30,1,4,14,30,2.0,28.3,t,11,29,59,279,136,64,3,0,4,0.55,4.89,4.94,4.89,4.91,4.92
369,8426840,20250609011815,459131117,29.96685,-90.0564,Marigny,,Room in boutique hotel,Private room,2022-05-14,"New Orleans, LA",,,,f,6,6,t,t,5,1.0,1 private bath,1.0,3.0,"[""Shared hot tub"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Shower gel"", ""Hot water"", ""Board games"", ""Wifi"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor furniture"", ""Outdoor dining area"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Window AC unit"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Bed linens"", ""Hair dryer"", ""Free parking on premises"", ""Exterior security cameras on property"", ""Oven"", ""Fire extinguisher"", ""48 inch HDTV with Disney+, Hulu, Netflix, Roku"", ""Dedicated workspace"", ""Body soap"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Shared patio or balcony"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Garden view"", ""Conditioner"", ""Cooking basics"", ""Samsung gas stove"", ""Private entrance"", ""Crib"", ""Keypad""]",$137.00,2,30,1,4,14,30,2.0,28.3,t,22,42,70,287,153,70,5,0,5,0.6,4.9,4.91,4.84,4.96,4.87
915,18049249,20250609011815,560749999,29.96,-90.06403,French Quarter,,Entire rental unit,Entire home/apt,2024-02-06,"New Orleans, LA",,,100%,t,25,26,t,t,4,1.0,1 bath,2.0,2.0,"[""Dishes and silverware"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Portable heater"", ""Coffee maker: Nespresso"", ""Shower gel"", ""Hot water"", ""Mini fridge"", ""Wifi"", ""Outdoor furniture"", ""Portable fans"", ""Outdoor dining area"", ""Self check-in"", ""Smoke alarm"", ""Shampoo"", ""Kitchenette"", ""Microwave"", ""Luggage dropoff allowed"", ""Clothing storage: closet"", ""Bed linens"", ""Hair dryer"", ""First aid kit"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Body soap"", ""Laundromat nearby"", ""Essentials"", ""Shared patio or balcony"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Garden view"", ""Paid street parking off premises"", ""Conditioner"", ""Bathtub"", ""50 inch HDTV with Roku, Fire TV"", ""Coffee"", ""Wine glasses"", ""Private entrance"", ""AC - split type ductless system"", ""Keypad""]",$137.00,1,365,1,4,30,1125,1.3,348.0,t,1,12,34,138,78,353,33,2,37,3.59,4.72,4.8,4.79,4.86,4.91
923,18189166,20250609011815,560749999,29.96,-90.06403,French Quarter,,Entire rental unit,Entire home/apt,2024-02-06,"New Orleans, LA",,,100%,t,25,26,t,t,5,1.0,1 bath,1.0,3.0,"[""Indoor fireplace"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Shower gel"", ""Hot water"", ""Mini fridge"", ""Wifi"", ""Shared backyard \u2013 Fully fenced"", ""TV with standard cable"", ""City skyline view"", ""Portable fans"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Luggage dropoff allowed"", ""Bed linens"", ""Hair dryer"", ""First aid kit"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Body soap"", ""Laundromat nearby"", ""Essentials"", ""Shared patio or balcony"", ""High chair"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Paid street parking off premises"", ""Conditioner"", ""Cooking basics"", ""Private entrance"", ""AC - split type ductless system"", ""Freezer"", ""Pack \u2019n play/Travel crib"", ""Keypad""]",$133.00,1,365,1,4,30,1125,1.2,348.0,t,6,23,51,198,138,391,31,3,45,3.97,4.61,4.62,4.73,4.73,4.9
926,18194933,20250609011815,560749999,29.96,-90.06403,French Quarter,,Entire rental unit,Entire home/apt,2024-02-06,"New Orleans, LA",,,100%,t,25,26,t,t,6,1.0,1 bath,1.0,2.0,"[""Indoor fireplace"", ""Books and reading material"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Shower gel"", ""Mini fridge"", ""Wifi"", ""Outdoor furniture"", ""City skyline view"", ""Shared backyard"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Electric stove"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Bed linens"", ""Hair dryer"", ""First aid kit"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""TV"", ""Body soap"", ""Kitchen"", ""Essentials"", ""Shared patio or balcony"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Conditioner"", ""Bathtub"", ""Coffee"", ""Wine glasses"", ""AC - split type ductless system"", ""Keypad""]",$123.00,1,365,1,4,30,1125,1.3,348.0,t,7,22,51,189,129,381,40,4,46,3.87,4.61,4.77,4.74,4.84,4.93
940,18376915,20250609011815,560749999,29.96011,-90.06394,French Quarter,,Entire loft,Entire home/apt,2024-02-06,"New Orleans, LA",,,100%,t,25,26,t,t,5,1.0,1 bath,0.0,3.0,"[""Indoor fireplace"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Shower gel"", ""Hot water"", ""Mini fridge"", ""Wifi"", ""Air conditioning"", ""Outdoor furniture"", ""City skyline view"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Luggage dropoff allowed"", ""Bed linens"", ""Hair dryer"", ""Backyard"", ""Exterior security cameras on property"", ""Babysitter recommendations"", ""Fire extinguisher"", ""TV"", ""Body soap"", ""Laundromat nearby"", ""Kitchen"", ""Essentials"", ""Shared patio or balcony"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Paid street parking off premises"", ""Conditioner"", ""Private entrance"", ""Keypad""]",$108.00,1,365,1,4,30,1125,1.3,348.0,t,12,31,58,215,155,476,35,5,51,4.83,4.54,4.42,4.59,4.74,4.88
941,18383264,20250609011815,560749999,29.96,-90.06403,French Quarter,,Entire rental unit,Entire home/apt,2024-02-06,"New Orleans, LA",,,100%,t,25,26,t,t,6,1.0,1 bath,1.0,3.0,"[""Indoor fireplace"", ""Books and reading material"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Shower gel"", ""Hot water"", ""Mini fridge"", ""Room-darkening shades"", ""Wifi"", ""Outdoor furniture"", ""City skyline view"", ""Stove"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Toaster"", ""Microwave"", ""Paid parking off premises"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Bed linens"", ""Hair dryer"", ""First aid kit"", ""Backyard"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Body soap"", ""Kitchen"", ""Essentials"", ""Shared patio or balcony"", ""High chair"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""TV with Fire TV"", ""Conditioner"", ""Cooking basics"", ""Wine glasses"", ""Coffee"", ""Clothing storage"", ""AC - split type ductless system"", ""Freezer"", ""Pack \u2019n play/Travel crib"", ""Keypad""]",$140.00,1,365,1,4,30,1125,1.3,348.0,t,6,13,21,163,104,442,42,3,50,4.48,4.64,4.68,4.72,4.79,4.87
